tillage_method,mulch_rate,depth,soil_water
Basins,zero mulch rate,300 mm,34.97483549
Basins,zero mulch rate,300 mm,37.403929
Basins,zero mulch rate,300 mm,33.41803363
Basins,zero mulch rate,300 mm,38.05974479
Basins,zero mulch rate,300 mm,10.12295455
Basins,zero mulch rate,300 mm,10.93013644
Basins,zero mulch rate,300 mm,15.25449427
Basins,zero mulch rate,300 mm,50.92432681
Basins,zero mulch rate,300 mm,41.85468405
Basins,zero mulch rate,300 mm,21.82480226
Basins,zero mulch rate,300 mm,35.69745163
Basins,zero mulch rate,300 mm,15.14364973
Basins,zero mulch rate,300 mm,17.85573529
Basins,zero mulch rate,300 mm,25.65694444
Basins,zero mulch rate,300 mm,27.18204178
Basins,zero mulch rate,300 mm,19.23715909
Basins,zero mulch rate,300 mm,19.64199077
Basins,zero mulch rate,300 mm,29.03112245
Basins,zero mulch rate,300 mm,6.049500555
Basins,zero mulch rate,300 mm,13.75512416
Basins,zero mulch rate,300 mm,18.54554044
Basins,zero mulch rate,600 mm,71.55798422
Basins,zero mulch rate,600 mm,81.00915926
Basins,zero mulch rate,600 mm,65.93221274
Basins,zero mulch rate,600 mm,87.81762894
Basins,zero mulch rate,600 mm,27.26155808
Basins,zero mulch rate,600 mm,26.12513644
Basins,zero mulch rate,600 mm,34.18949045
Basins,zero mulch rate,600 mm,84.17464738
Basins,zero mulch rate,600 mm,66.64897303
Basins,zero mulch rate,600 mm,50.48211537
Basins,zero mulch rate,600 mm,68.92002357
Basins,zero mulch rate,600 mm,38.09363277
Basins,zero mulch rate,600 mm,31.85394775
Basins,zero mulch rate,600 mm,44.81793647
Basins,zero mulch rate,600 mm,49.2615185
Basins,zero mulch rate,600 mm,51.33368921
Basins,zero mulch rate,600 mm,44.31366416
Basins,zero mulch rate,600 mm,63.73439626
Basins,zero mulch rate,600 mm,21.09779421
Basins,zero mulch rate,600 mm,32.36052059
Basins,zero mulch rate,600 mm,33.89234149
Basins,zero mulch rate,900 mm,121.6167338
Basins,zero mulch rate,900 mm,94.14778966
Basins,zero mulch rate,900 mm,128.0172874
Basins,zero mulch rate,900 mm,45.18281412
Basins,zero mulch rate,900 mm,45.08542683
Basins,zero mulch rate,900 mm,63.17805059
Basins,zero mulch rate,900 mm,112.3782528
Basins,zero mulch rate,900 mm,86.48582022
Basins,zero mulch rate,900 mm,103.1035237
Basins,zero mulch rate,900 mm,59.46230009
Basins,zero mulch rate,900 mm,60.55572413
Basins,zero mulch rate,900 mm,69.27243969
Basins,zero mulch rate,900 mm,73.61868836
Basins,zero mulch rate,900 mm,73.16861738
Basins,zero mulch rate,900 mm,97.17160626
Basins,zero mulch rate,900 mm,42.37389328
Basins,zero mulch rate,900 mm,59.94252776
Basins,zero mulch rate,900 mm,57.03947712
Plough,zero mulch rate,300 mm,23.25585038
Plough,zero mulch rate,300 mm,28.83263423
Plough,zero mulch rate,300 mm,30.31766732
Plough,zero mulch rate,300 mm,31.07215686
Plough,zero mulch rate,300 mm,8.163219481
Plough,zero mulch rate,300 mm,9.345779031
Plough,zero mulch rate,300 mm,27.26712148
Plough,zero mulch rate,300 mm,29.23566598
Plough,zero mulch rate,300 mm,20.80183853
Plough,zero mulch rate,300 mm,18.94919801
Plough,zero mulch rate,300 mm,31.96324084
Plough,zero mulch rate,300 mm,10.73174577
Plough,zero mulch rate,300 mm,11.37995465
Plough,zero mulch rate,300 mm,26.37303527
Plough,zero mulch rate,300 mm,36.818361
Plough,zero mulch rate,300 mm,21.90004662
Plough,zero mulch rate,300 mm,28.38276668
Plough,zero mulch rate,300 mm,22.36879
Plough,zero mulch rate,300 mm,19.73670807
Plough,zero mulch rate,300 mm,16.98195674
Plough,zero mulch rate,300 mm,20.63062004
Plough,zero mulch rate,600 mm,51.43569133
Plough,zero mulch rate,600 mm,69.35838308
Plough,zero mulch rate,600 mm,51.69329757
Plough,zero mulch rate,600 mm,78.80465686
Plough,zero mulch rate,600 mm,30.27057242
Plough,zero mulch rate,600 mm,31.79772908
Plough,zero mulch rate,600 mm,43.90065771
Plough,zero mulch rate,600 mm,53.69894271
Plough,zero mulch rate,600 mm,50.58868063
Plough,zero mulch rate,600 mm,40.42832809
Plough,zero mulch rate,600 mm,64.45032364
Plough,zero mulch rate,600 mm,20.71909696
Plough,zero mulch rate,600 mm,30.37370465
Plough,zero mulch rate,600 mm,41.3521726
Plough,zero mulch rate,600 mm,62.20986551
Plough,zero mulch rate,600 mm,49.38288976
Plough,zero mulch rate,600 mm,55.42147395
Plough,zero mulch rate,600 mm,54.23154511
Plough,zero mulch rate,600 mm,37.12209038
Plough,zero mulch rate,600 mm,36.60831967
Plough,zero mulch rate,600 mm,42.48140822
Plough,zero mulch rate,900 mm,113.6122944
Plough,zero mulch rate,900 mm,95.27909719
Plough,zero mulch rate,900 mm,126.4762588
Plough,zero mulch rate,900 mm,52.76759523
Plough,zero mulch rate,900 mm,61.54393687
Plough,zero mulch rate,900 mm,77.88351485
Plough,zero mulch rate,900 mm,86.00091325
Plough,zero mulch rate,900 mm,81.87694878
Plough,zero mulch rate,900 mm,105.5389287
Plough,zero mulch rate,900 mm,42.54439696
Plough,zero mulch rate,900 mm,53.50964405
Plough,zero mulch rate,900 mm,70.51122967
Plough,zero mulch rate,900 mm,70.29194566
Plough,zero mulch rate,900 mm,79.39818789
Plough,zero mulch rate,900 mm,87.29717412
Plough,zero mulch rate,900 mm,57.27829746
Plough,zero mulch rate,900 mm,61.89020252
Plough,zero mulch rate,900 mm,64.66523053
Ripper,zero mulch rate,300 mm,29.66658946
Ripper,zero mulch rate,300 mm,28.63219735
Ripper,zero mulch rate,300 mm,22.98387097
Ripper,zero mulch rate,300 mm,36.80026634
Ripper,zero mulch rate,300 mm,11.45268375
Ripper,zero mulch rate,300 mm,14.93333333
Ripper,zero mulch rate,300 mm,19.43245342
Ripper,zero mulch rate,300 mm,28.87910518
Ripper,zero mulch rate,300 mm,24.17211879
Ripper,zero mulch rate,300 mm,24.07168459
Ripper,zero mulch rate,300 mm,46.47229428
Ripper,zero mulch rate,300 mm,10.02203807
Ripper,zero mulch rate,300 mm,12.66607539
Ripper,zero mulch rate,300 mm,23.69290281
Ripper,zero mulch rate,300 mm,43.59256259
Ripper,zero mulch rate,300 mm,24.98323267
Ripper,zero mulch rate,300 mm,26.48628915
Ripper,zero mulch rate,300 mm,31.62681435
Ripper,zero mulch rate,300 mm,19.37237809
Ripper,zero mulch rate,300 mm,12.08210685
Ripper,zero mulch rate,300 mm,20.5965368
Ripper,zero mulch rate,600 mm,51.40126196
Ripper,zero mulch rate,600 mm,62.39857594
Ripper,zero mulch rate,600 mm,45.54045593
Ripper,zero mulch rate,600 mm,78.57884589
Ripper,zero mulch rate,600 mm,25.35974625
Ripper,zero mulch rate,600 mm,27.67413978
Ripper,zero mulch rate,600 mm,36.86321845
Ripper,zero mulch rate,600 mm,51.5231576
Ripper,zero mulch rate,600 mm,56.40337721
Ripper,zero mulch rate,600 mm,51.25168459
Ripper,zero mulch rate,600 mm,80.15803862
Ripper,zero mulch rate,600 mm,29.0005851
Ripper,zero mulch rate,600 mm,28.63246052
Ripper,zero mulch rate,600 mm,43.52667732
Ripper,zero mulch rate,600 mm,65.03967088
Ripper,zero mulch rate,600 mm,56.94815269
Ripper,zero mulch rate,600 mm,48.22039595
Ripper,zero mulch rate,600 mm,63.7792328
Ripper,zero mulch rate,600 mm,43.10026115
Ripper,zero mulch rate,600 mm,29.49495216
Ripper,zero mulch rate,600 mm,44.52708186
Ripper,zero mulch rate,900 mm,89.64367166
Ripper,zero mulch rate,900 mm,64.85987955
Ripper,zero mulch rate,900 mm,126.2224454
Ripper,zero mulch rate,900 mm,42.70279171
Ripper,zero mulch rate,900 mm,52.7635136
Ripper,zero mulch rate,900 mm,56.07397177
Ripper,zero mulch rate,900 mm,90.35879225
Ripper,zero mulch rate,900 mm,86.08379184
Ripper,zero mulch rate,900 mm,119.8761229
Ripper,zero mulch rate,900 mm,56.26158098
Ripper,zero mulch rate,900 mm,58.43989327
Ripper,zero mulch rate,900 mm,66.08994655
Ripper,zero mulch rate,900 mm,89.68778035
Ripper,zero mulch rate,900 mm,76.46274997
Ripper,zero mulch rate,900 mm,116.0924519
Ripper,zero mulch rate,900 mm,67.57215891
Ripper,zero mulch rate,900 mm,53.28722
Ripper,zero mulch rate,900 mm,70.88881109
Basins,0.5 mulch rate,300 mm,38.28599362
Basins,0.5 mulch rate,300 mm,28.88258363
Basins,0.5 mulch rate,300 mm,25.10354135
Basins,0.5 mulch rate,300 mm,33.63554546
Basins,0.5 mulch rate,300 mm,12.0899026
Basins,0.5 mulch rate,300 mm,13.51844363
Basins,0.5 mulch rate,300 mm,14.05229268
Basins,0.5 mulch rate,300 mm,34.59209559
Basins,0.5 mulch rate,300 mm,33.11314251
Basins,0.5 mulch rate,300 mm,20.30805344
Basins,0.5 mulch rate,300 mm,36.83001508
Basins,0.5 mulch rate,300 mm,7.88920975
Basins,0.5 mulch rate,300 mm,14.22455006
Basins,0.5 mulch rate,300 mm,28.02705673
Basins,0.5 mulch rate,300 mm,25.82395299
Basins,0.5 mulch rate,300 mm,25.62141031
Basins,0.5 mulch rate,300 mm,20.69272219
Basins,0.5 mulch rate,300 mm,32.06863442
Basins,0.5 mulch rate,300 mm,12.42667926
Basins,0.5 mulch rate,300 mm,16.25183784
Basins,0.5 mulch rate,300 mm,25.84262918
Basins,0.5 mulch rate,600 mm,59.9625492
Basins,0.5 mulch rate,600 mm,57.15758363
Basins,0.5 mulch rate,600 mm,53.49371992
Basins,0.5 mulch rate,600 mm,72.81548243
Basins,0.5 mulch rate,600 mm,27.95499115
Basins,0.5 mulch rate,600 mm,37.25907356
Basins,0.5 mulch rate,600 mm,27.08971085
Basins,0.5 mulch rate,600 mm,66.32051923
Basins,0.5 mulch rate,600 mm,66.38867014
Basins,0.5 mulch rate,600 mm,48.61827747
Basins,0.5 mulch rate,600 mm,67.7252027
Basins,0.5 mulch rate,600 mm,28.7351745
Basins,0.5 mulch rate,600 mm,36.60452842
Basins,0.5 mulch rate,600 mm,47.35544184
Basins,0.5 mulch rate,600 mm,56.76208816
Basins,0.5 mulch rate,600 mm,52.44208369
Basins,0.5 mulch rate,600 mm,41.09687912
Basins,0.5 mulch rate,600 mm,60.97082598
Basins,0.5 mulch rate,600 mm,33.70677727
Basins,0.5 mulch rate,600 mm,36.50708534
Basins,0.5 mulch rate,600 mm,48.34130565
Basins,0.5 mulch rate,900 mm,92.58183677
Basins,0.5 mulch rate,900 mm,92.19591148
Basins,0.5 mulch rate,900 mm,114.4331214
Basins,0.5 mulch rate,900 mm,46.30689747
Basins,0.5 mulch rate,900 mm,63.78610722
Basins,0.5 mulch rate,900 mm,45.19288393
Basins,0.5 mulch rate,900 mm,98.34500387
Basins,0.5 mulch rate,900 mm,82.73010662
Basins,0.5 mulch rate,900 mm,112.5555667
Basins,0.5 mulch rate,900 mm,51.41716148
Basins,0.5 mulch rate,900 mm,70.77786353
Basins,0.5 mulch rate,900 mm,65.9851632
Basins,0.5 mulch rate,900 mm,76.56754447
Basins,0.5 mulch rate,900 mm,71.0016044
Basins,0.5 mulch rate,900 mm,96.61694866
Basins,0.5 mulch rate,900 mm,54.49001838
Basins,0.5 mulch rate,900 mm,62.73576108
Basins,0.5 mulch rate,900 mm,73.20444399
Plough,0.5 mulch rate,300 mm,32.89107961
Plough,0.5 mulch rate,300 mm,27.82815126
Plough,0.5 mulch rate,300 mm,14.39018227
Plough,0.5 mulch rate,300 mm,33.91237556
Plough,0.5 mulch rate,300 mm,10.06557887
Plough,0.5 mulch rate,300 mm,13.38906593
Plough,0.5 mulch rate,300 mm,13.80403318
Plough,0.5 mulch rate,300 mm,34.21515152
Plough,0.5 mulch rate,300 mm,29.24319493
Plough,0.5 mulch rate,300 mm,29.71367754
Plough,0.5 mulch rate,300 mm,38.82926743
Plough,0.5 mulch rate,300 mm,6.44107604
Plough,0.5 mulch rate,300 mm,15.01327485
Plough,0.5 mulch rate,300 mm,25.25272727
Plough,0.5 mulch rate,300 mm,34.30857599
Plough,0.5 mulch rate,300 mm,16.86694226
Plough,0.5 mulch rate,300 mm,28.54703947
Plough,0.5 mulch rate,300 mm,24.36071429
Plough,0.5 mulch rate,300 mm,11.70278544
Plough,0.5 mulch rate,300 mm,18.40537757
Plough,0.5 mulch rate,300 mm,27.57286785
Plough,0.5 mulch rate,600 mm,66.52092655
Plough,0.5 mulch rate,600 mm,67.16369281
Plough,0.5 mulch rate,600 mm,33.90027842
Plough,0.5 mulch rate,600 mm,79.95793678
Plough,0.5 mulch rate,600 mm,23.54659976
Plough,0.5 mulch rate,600 mm,24.35856593
Plough,0.5 mulch rate,600 mm,26.83610865
Plough,0.5 mulch rate,600 mm,63.41523813
Plough,0.5 mulch rate,600 mm,69.23600677
Plough,0.5 mulch rate,600 mm,69.04534571
Plough,0.5 mulch rate,600 mm,68.64135901
Plough,0.5 mulch rate,600 mm,19.87806964
Plough,0.5 mulch rate,600 mm,34.85189619
Plough,0.5 mulch rate,600 mm,48.52649575
Plough,0.5 mulch rate,600 mm,65.64508915
Plough,0.5 mulch rate,600 mm,37.47554201
Plough,0.5 mulch rate,600 mm,54.85974376
Plough,0.5 mulch rate,600 mm,52.47585714
Plough,0.5 mulch rate,600 mm,41.85439115
Plough,0.5 mulch rate,600 mm,41.29547085
Plough,0.5 mulch rate,600 mm,56.55296302
Plough,0.5 mulch rate,900 mm,104.6725341
Plough,0.5 mulch rate,900 mm,75.81568685
Plough,0.5 mulch rate,900 mm,126.0418673
Plough,0.5 mulch rate,900 mm,44.09744738
Plough,0.5 mulch rate,900 mm,54.84969381
Plough,0.5 mulch rate,900 mm,43.25053564
Plough,0.5 mulch rate,900 mm,100.3987963
Plough,0.5 mulch rate,900 mm,105.4362111
Plough,0.5 mulch rate,900 mm,108.0733323
Plough,0.5 mulch rate,900 mm,39.39929763
Plough,0.5 mulch rate,900 mm,65.91653718
Plough,0.5 mulch rate,900 mm,82.63095457
Plough,0.5 mulch rate,900 mm,82.60272937
Plough,0.5 mulch rate,900 mm,87.75581156
Plough,0.5 mulch rate,900 mm,88.40269406
Plough,0.5 mulch rate,900 mm,76.57592389
Plough,0.5 mulch rate,900 mm,70.22023046
Plough,0.5 mulch rate,900 mm,89.78119539
Ripper,0.5 mulch rate,300 mm,29.92044507
Ripper,0.5 mulch rate,300 mm,30.80989643
Ripper,0.5 mulch rate,300 mm,32.61774841
Ripper,0.5 mulch rate,300 mm,35.42596349
Ripper,0.5 mulch rate,300 mm,7.640769231
Ripper,0.5 mulch rate,300 mm,16.22432277
Ripper,0.5 mulch rate,300 mm,16.83702978
Ripper,0.5 mulch rate,300 mm,29.60565217
Ripper,0.5 mulch rate,300 mm,24.9944122
Ripper,0.5 mulch rate,300 mm,25.10130665
Ripper,0.5 mulch rate,300 mm,33.08335135
Ripper,0.5 mulch rate,300 mm,14.34828297
Ripper,0.5 mulch rate,300 mm,13.06050354
Ripper,0.5 mulch rate,300 mm,16.79613643
Ripper,0.5 mulch rate,300 mm,19.57886978
Ripper,0.5 mulch rate,300 mm,31.89519055
Ripper,0.5 mulch rate,300 mm,31.9009511
Ripper,0.5 mulch rate,300 mm,38.60305164
Ripper,0.5 mulch rate,300 mm,12.30820901
Ripper,0.5 mulch rate,300 mm,13.90578512
Ripper,0.5 mulch rate,300 mm,20.07070049
Ripper,0.5 mulch rate,600 mm,67.81751174
Ripper,0.5 mulch rate,600 mm,70.80763837
Ripper,0.5 mulch rate,600 mm,65.55828413
Ripper,0.5 mulch rate,600 mm,74.36137561
Ripper,0.5 mulch rate,600 mm,24.84541209
Ripper,0.5 mulch rate,600 mm,39.34210346
Ripper,0.5 mulch rate,600 mm,38.44690491
Ripper,0.5 mulch rate,600 mm,70.1485614
Ripper,0.5 mulch rate,600 mm,59.07074198
Ripper,0.5 mulch rate,600 mm,58.17623408
Ripper,0.5 mulch rate,600 mm,71.62432879
Ripper,0.5 mulch rate,600 mm,33.9545429
Ripper,0.5 mulch rate,600 mm,33.18890957
Ripper,0.5 mulch rate,600 mm,35.75942569
Ripper,0.5 mulch rate,600 mm,70.51594042
Ripper,0.5 mulch rate,600 mm,71.58916077
Ripper,0.5 mulch rate,600 mm,63.20486677
Ripper,0.5 mulch rate,600 mm,66.55072366
Ripper,0.5 mulch rate,600 mm,49.20833963
Ripper,0.5 mulch rate,600 mm,31.74799824
Ripper,0.5 mulch rate,600 mm,43.98662059
Ripper,0.5 mulch rate,900 mm,102.7103491
Ripper,0.5 mulch rate,900 mm,95.70304096
Ripper,0.5 mulch rate,900 mm,114.9626178
Ripper,0.5 mulch rate,900 mm,45.96302572
Ripper,0.5 mulch rate,900 mm,69.41412288
Ripper,0.5 mulch rate,900 mm,62.64725213
Ripper,0.5 mulch rate,900 mm,93.30025678
Ripper,0.5 mulch rate,900 mm,93.24556722
Ripper,0.5 mulch rate,900 mm,119.6327865
Ripper,0.5 mulch rate,900 mm,60.90585754
Ripper,0.5 mulch rate,900 mm,61.80000714
Ripper,0.5 mulch rate,900 mm,61.50344118
Ripper,0.5 mulch rate,900 mm,104.2462408
Ripper,0.5 mulch rate,900 mm,92.80694093
Ripper,0.5 mulch rate,900 mm,94.68924809
Ripper,0.5 mulch rate,900 mm,74.04785667
Ripper,0.5 mulch rate,900 mm,59.10432257
Ripper,0.5 mulch rate,900 mm,81.17714007
Basins,1 mulch rate,300 mm,34.85936163
Basins,1 mulch rate,300 mm,29.63776208
Basins,1 mulch rate,300 mm,25.40412371
Basins,1 mulch rate,300 mm,39.53538535
Basins,1 mulch rate,300 mm,9.177534965
Basins,1 mulch rate,300 mm,11.5887931
Basins,1 mulch rate,300 mm,22.0163948
Basins,1 mulch rate,300 mm,29.96563314
Basins,1 mulch rate,300 mm,19.06048951
Basins,1 mulch rate,300 mm,26.6509375
Basins,1 mulch rate,300 mm,23.42518352
Basins,1 mulch rate,300 mm,9.226410106
Basins,1 mulch rate,300 mm,9.636542056
Basins,1 mulch rate,300 mm,24.92278772
Basins,1 mulch rate,300 mm,27.55178442
Basins,1 mulch rate,300 mm,33.88205749
Basins,1 mulch rate,300 mm,26.89411718
Basins,1 mulch rate,300 mm,47.43638511
Basins,1 mulch rate,300 mm,11.37862584
Basins,1 mulch rate,300 mm,18.47150943
Basins,1 mulch rate,300 mm,35.11173737
Basins,1 mulch rate,600 mm,57.32509638
Basins,1 mulch rate,600 mm,66.28189252
Basins,1 mulch rate,600 mm,55.25412371
Basins,1 mulch rate,600 mm,70.69665186
Basins,1 mulch rate,600 mm,21.61083676
Basins,1 mulch rate,600 mm,29.14540611
Basins,1 mulch rate,600 mm,42.36287281
Basins,1 mulch rate,600 mm,56.470851
Basins,1 mulch rate,600 mm,44.39887797
Basins,1 mulch rate,600 mm,50.24666921
Basins,1 mulch rate,600 mm,60.88228668
Basins,1 mulch rate,600 mm,26.12938883
Basins,1 mulch rate,600 mm,28.94304849
Basins,1 mulch rate,600 mm,41.85626152
Basins,1 mulch rate,600 mm,61.46812236
Basins,1 mulch rate,600 mm,72.24170034
Basins,1 mulch rate,600 mm,59.60291888
Basins,1 mulch rate,600 mm,81.16229621
Basins,1 mulch rate,600 mm,25.15105618
Basins,1 mulch rate,600 mm,46.585612
Basins,1 mulch rate,600 mm,65.55887822
Basins,1 mulch rate,900 mm,97.16812344
Basins,1 mulch rate,900 mm,94.0464123
Basins,1 mulch rate,900 mm,106.7248391
